Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
HGBL11,Logística,"10,24","1,19%","8,72%","1,03",125.271.000,76.432,1,"1.738,08","39,49","2,27%","0,00%"
HGBS11,Shoppings,"200,22","7,70%","9,30%","0,89",2.548.760.000,3.666.860,15,"4.453,49","350,35","7,87%","5,47%"
HGCR11,Títulos e Val. Mob.,"100,55","11,44%","9,88%","1,00",1.550.290.000,2.772.010,0,"0,00","0,00","0,00%","0,00%"
HGFF11,Títulos e Val. Mob.,"75,75","9,59%","9,60%","0,85",216.917.000,406.294,0,"0,00","0,00","0,00%","0,00%"
HGIC11,Títulos e Val. Mob.,"94,31","10,83%","11,09%","0,83",43.637.800,12.513,2,"2.535,12","0,00","0,00%","0,00%"
HGLG11,Logística,"157,49","6,63%","7,33%","1,00",5.321.210.000,7.025.610,26,"3.172,33","232,27","7,32%","6,43%"
HGPO11,Lajes Corporativas,"300,01","6,09%","5,56%","0,87",525.935.000,633.107,2,"41.214,10","2.781,84","6,75%","3,42%"
HGRE11,Lajes Corporativas,"103,41","6,89%","8,93%","0,68",1.222.080.000,2.088.460,16,"6.538,24","668,85","10,23%","26,34%"
HGRU11,Híbrido,"121,07","7,89%","8,70%","0,96",2.228.470.000,3.948.940,68,"4.335,53","421,21","9,72%","0,97%"
HLOG11,Logística,"85,74","7,31%","6,23%","0,74",364.395.000,120.419,4,"1.934,47","210,29","10,87%","23,09%"
HOFC11,Lajes Corporativas,"26,80","4,40%","3,27%","0,38",101.277.000,152.766,4,"2.377,11","463,77","19,51%","52,71%"
HOSI11,Híbrido,"93,00","8,97%","8,44%","1,01",53.330.800,73.885,2,"0,00","0,00","0,00%","0,00%"
HPDP11,Shoppings,"87,11","6,90%","6,42%","0,91",286.418.000,2.215.790,1,"2.098,24","159,19","7,59%","1,89%"
HRDF11,Híbrido,"3,28","2,68%","0,00%","0,37",4.977.150,539,0,"0,00","0,00","0,00%","0,00%"
HREC11,Títulos e Val. Mob.,"8,40","11,44%","9,98%","0,93",433.168.000,296.973,0,"0,00","0,00","0,00%","0,00%"
HRES11,Híbrido,"149,25","12,49%","7,88%","1,21",69.885.100,54,0,"0,00","0,00","0,00%","0,00%"
HSAF11,Títulos e Val. Mob.,"80,78","12,50%","11,13%","0,91",204.079.000,475.878,0,"0,00","0,00","0,00%","0,00%"
HSLG11,Logística,"81,55","9,88%","9,42%","0,78",1.032.430.000,524.825,5,"2.449,07","275,91","11,27%","4,95%"
HSML11,Shoppings,"89,09","7,67%","9,11%","0,82",1.853.840.000,3.029.750,7,"9.006,25","915,91","10,17%","4,39%"
HSRE11,Híbrido,"96,00","7,29%","7,64%","1,01",854.278.000,1.239.470,26,"7.237,13","663,94","9,17%","3,72%"
HTMX11,Hotel,"195,20","3,88%","12,08%","1,45",293.646.000,864.64,21,"202.140,00","13.942,67","6,90%","0,00%"
HUCG11,Logística,"84,05","1,66%","0,73%","0,81",94.304.100,1.503,2,"3.205,80","0,00","0,00%","0,00%"
HUSC11,Outros,"107,10","10,09%","8,62%","0,69",91.122.900,2.777,1,"1.226,68","150,49","12,27%","0,00%"
HUSI11,Hospital,"1.220,00","8,25%","7,01%","1,03",141.962.000,1.88,1,"6.946,45","612,58","8,82%","0,00%"
IAAG11,Títulos e Val. Mob.,"9,79","16,70%","10,22%","1,01",56.471.200,115.553,0,"0,00","0,00","0,00%","0,00%"
IAGR11,Outros,"3,13","10,74%","11,93%","0,35",8.757.550,12.686,0,"0,00","0,00","0,00%","0,00%"
IBCR11,Títulos e Val. Mob.,"63,10","12,21%","16,15%","0,65",60.476.500,143.086,0,"0,00","0,00","0,00%","0,00%"
ICRI11,Títulos e Val. Mob.,"93,40","5,30%","6,37%","0,93",360.277.000,833.145,0,"0,00","0,00","0,00%","0,00%"
IDFI11,Títulos e Val. Mob.,"4,00","8,21%","79,83%","0,47",8.231.700,12.065,2,"1.526,85","0,00","0,00%","0,00%"
IDGR11,Híbrido,"4,00","25,33%","133,27%","0,97",3.533.440,907,1,"0,00","0,00","0,00%","0,00%"
IRDM11,Títulos e Val. Mob.,"65,20","14,40%","12,99%","0,77",2.375.490.000,4.129.030,0,"0,00","0,00","0,00%","0,00%"
IRIM11,Híbrido,"67,49","15,05%","13,52%","0,78",129.581.000,53.819,0,"0,00","0,00","0,00%","0,00%"
ISCJ11,Títulos e Val. Mob.,"90,00","4,23%","0,00%","0,65",28.257.300,106,0,"0,00","0,00","0,00%","0,00%"
ITIP11,Títulos e Val. Mob.,"72,92","17,36%","9,88%","0,98",54.555.200,92.813,0,"0,00","0,00","0,00%","0,00%"
ITIT11,Títulos e Val. Mob.,"74,06","14,91%","8,75%","0,91",66.690.600,108.94,0,"0,00","0,00","0,00%","0,00%"
ITRI11,Híbrido,"82,20","2,84%","4,44%","0,84",513.750.000,1.519.390,0,"0,00","0,00","0,00%","0,00%"
JASC11,Híbrido,"103,00","5,09%","6,45%","0,96",359.402.000,142,16,"4.279,68","309,43","7,23%","1,32%"
JCCJ11,Títulos e Val. Mob.,"150,00","2,35%","2,65%","0,82",250.276.000,1.718.930,0,"0,00","0,00","0,00%","0,00%"
JCIN11,Títulos e Val. Mob.,"151,39","3,98%","1,19%","1,00",199.489.000,2.803.060,0,"0,00","0,00","0,00%","0,00%"
JFLL11,Residencial,"70,24","14,91%","9,11%","0,68",105.402.000,122.157,2,"7.133,62","1.284,15","18,00%","9,00%"
JGPX11,Híbrido,"67,31","17,15%","16,12%","0,71",144.127.000,936.923,0,"0,00","0,00","0,00%","0,00%"
JPPA11,Híbrido,"80,73","15,64%","12,70%","0,83",72.984.000,197.108,0,"0,00","0,00","0,00%","0,00%"
JSAF11,Títulos e Val. Mob.,"94,00","3,43%","10,76%","0,98",728.719.000,2.418.150,0,"0,00","0,00","0,00%","0,00%"
JSCR11,Títulos e Val. Mob.,"85,87","0,00%","0,95%","0,89",190.091.000,138.479,0,"0,00","0,00","0,00%","0,00%"
JSRE11,Híbrido,"61,80","8,52%","7,98%","0,56",1.283.420.000,1.842.200,6,"10.921,40","1.082,70","9,91%","7,85%"
KCRE11,Títulos e Val. Mob.,"9,32","12,43%","10,42%","0,93",335.520.000,461.302,0,"0,00","0,00","0,00%","0,00%"
KEVE11,Residencial,"1.109,00","0,22%","6,17%","1,52",163.800.000,43.483,1,"0,00","0,00","0,00%","0,00%"
KFOF11,Títulos e Val. Mob.,"81,71","7,56%","10,23%","0,87",573.160.000,1.340.710,0,"0,00","0,00","0,00%","0,00%"
KISU11,Títulos e Val. Mob.,"7,56","18,53%","10,19%","0,88",334.122.000,645.61,0,"0,00","0,00","0,00%","0,00%"
KIVO11,Títulos e Val. Mob.,"72,28","12,28%","15,05%","0,81",160.659.000,481.729,0,"0,00","0,00","0,00%","0,00%"
KNCA11,Títulos e Val. Mob.,"100,00","10,62%","11,00%","0,97",2.159.990.000,2.831.040,0,"0,00","0,00","0,00%","0,00%"
KNCR11,Títulos e Val. Mob.,"104,66","10,81%","9,83%","1,03",7.272.750.000,16.089.400,0,"0,00","0,00","0,00%","0,00%"
KNHF11,Híbrido,"93,28","7,43%","10,25%","0,93",1.834.190.000,3.619.070,2,"23.040,10","312,25","1,36%","0,00%"
KNHY11,Títulos e Val. Mob.,"103,98","6,98%","10,81%","1,03",2.929.070.000,6.943.500,0,"0,00","0,00","0,00%","0,00%"
KNIP11,Títulos e Val. Mob.,"92,01","13,31%","9,55%","0,96",7.367.990.000,8.867.280,0,"0,00","0,00","0,00%","0,00%"
KNRE11,Residencial,"0,29","-36,65%","0,00%","0,36",5.378.680,4.919,0,"0,00","0,00","0,00%","0,00%"
KNRI11,Híbrido,"138,78","6,80%","7,57%","0,86",3.914.160.000,9.055.610,19,"5.199,87","377,68","7,26%","0,16%"
KNSC11,Títulos e Val. Mob.,"9,13","8,78%","9,33%","1,02",1.212.080.000,3.591.570,0,"0,00","0,00","0,00%","0,00%"
KNUQ11,Títulos e Val. Mob.,"104,17","4,97%","10,44%","1,03",1.595.100.000,2.581.330,0,"0,00","0,00","0,00%","0,00%"
KOPA11,Títulos e Val. Mob.,"988,90","6,28%","9,65%","0,99",350.740.000,219.705,0,"0,00","0,00","0,00%","0,00%"
KORE11,Títulos e Val. Mob.,"95,48","8,60%","10,45%","0,90",918.995.000,2.021.520,4,"14.704,00","855,02","5,81%","1,72%"
LASC11,Shoppings,"111,00","3,39%","5,99%","0,88",326.373.000,699.203,2,"15.598,10","1.377,52","8,83%","2,30%"
LFTT11,Residencial,"10,50","-30,06%","0,00%","0,45",34.282.500,25.012,107,"3.218,13","0,95","0,03%","0,00%"
LGCP11,Logística,"82,95","11,25%","9,10%","0,83",374.279.000,259.855,5,"3.868,54","375,13","9,70%","0,84%"
LIFE11,Outros,"10,23","12,74%","12,68%","1,02",238.035.000,500.815,0,"0,00","0,00","0,00%","0,00%"
LSAG11,Títulos e Val. Mob.,"79,26","17,86%","15,56%","0,81",79.999.800,208.602,0,"0,00","0,00","0,00%","0,00%"
